geneId	cluster
Mp2g07840	C2
Mp2g07860	C2
Mp2g07920	C3
Mp2g08000	C10
Mp2g08030	C3
Mp2g08120	C3
Mp2g08160	C3
Mp2g08170	C1
Mp2g08190	C1
Mp2g08200	C3
Mp2g08270	C6
Mp2g08350	C2
Mp2g08420	C9
Mp2g08480	C1
Mp2g08490	C1
Mp2g08630	C3
Mp2g08700	C3
Mp2g08750	C6
Mp2g08850	C3
Mp2g08900	C3
Mp2g08990	C3
Mp2g09040	C2
Mp2g09050	C3
Mp2g09140	C6
Mp2g09160	C6
Mp2g09200	C6
Mp2g09210	C2
Mp2g09280	C10
Mp2g09340	C4
Mp2g09370	C3
Mp2g09380	C1
Mp2g09390	C3
Mp2g09520	C3
Mp2g09520	C1
Mp2g09570	C4
Mp2g09590	C3
Mp2g09610	C3
Mp2g09725	C3
Mp2g09755a	C6
Mp2g09910	C2
Mp2g09940	C6
Mp2g10120	C3
Mp2g10220	C2
Mp2g10220	C6
Mp2g10250	C9
Mp2g10260	C6
Mp2g10260	C2
Mp2g10270	C6
Mp2g10270	C2
Mp2g10280	C6
Mp2g10450	C3
Mp2g10480	C1
Mp2g10490	C6
Mp2g10490	C10
Mp2g10510	C3
Mp2g10590	C6
Mp2g10610	C6
Mp2g10640	C6
Mp2g10690	C2
Mp2g10700	C3
Mp2g10740	C3
Mp2g10760	C6
Mp2g10850	C2
Mp2g10875a	C2
Mp2g10870	C1
Mp2g10920	C1
Mp2g10950	C6
Mp2g11030	C2
Mp2g11120	C3
Mp2g11260	C5
Mp2g11300	C3
Mp2g11360	C3
Mp2g11380	C3
Mp2g11500	C3
Mp2g11540	C3
Mp2g11580	C1
Mp2g11660	C3
Mp2g11670	C1
Mp2g11680	C3
Mp2g11690	C3
Mp2g11750	C1
Mp2g11860	C7
Mp2g11870	C2
Mp2g11910	C10
Mp2g11930	C2
Mp2g11950	C3
Mp2g11975a	C3
Mp2g12080	C3
Mp2g12110	C1
Mp2g12140	C10
Mp2g12200	C15
Mp2g12340	C6
Mp2g12380	C1
Mp2g12390	C6
Mp2g12480	C3
Mp2g12580	C3
Mp2g12660	C6
Mp2g12720	C1
Mp2g12780	C3
Mp2g12810	C1
Mp2g12810	C6
Mp2g12990	C3
Mp2g13010	C15
Mp2g13010	C10
Mp2g13040	C2
Mp2g13050	C1
Mp2g13060	C9
Mp2g13070	C9
Mp2g13080	C3
Mp2g13120	C11
Mp2g13160	C3
Mp2g13160	C2
Mp2g13210	C3
Mp2g13235	C1
Mp2g13230	C6
Mp2g13240	C6
Mp2g13340	C6
Mp2g13405a	C6
Mp2g13405a	C2
Mp2g13425a	C2
Mp2g13440	C3
Mp2g13450	C1
Mp2g13470	C3
Mp2g13540	C1
Mp2g13550	C3
Mp2g13740	C4
Mp2g13860	C3
Mp2g13910	C3
Mp2g13950	C3
Mp2g13960	C2
Mp2g14050	C2
Mp2g14080	C3
Mp2g14850	C3
Mp2g15010	C6
Mp2g15030	C3
Mp2g15050	C3
Mp2g15085a	C1
Mp2g15100	C6
Mp2g15130	C3
Mp2g15200	C6
Mp2g15200	C14
Mp2g15230	C14
Mp2g15340	C6
Mp2g15680	C2
Mp2g15680	C3
Mp2g15780	C2
Mp2g15870	C10
Mp2g16060	C6
Mp2g16110	C6
Mp2g16140	C1
Mp2g16200	C3
Mp2g16320	C3
Mp2g16330	C3
Mp2g16460	C10
Mp2g16530	C9
Mp2g16540	C9
Mp2g16550	C2
Mp2g16560	C6
Mp2g16590	C10
Mp2g16640	C3
Mp2g16700	C10
Mp2g16820	C2
Mp2g16850	C3
Mp2g16860	C6
Mp2g16890	C3
Mp2g16930	C2
Mp2g16960	C2
Mp2g16970	C1
Mp2g17000	C2
Mp2g17000	C3
Mp2g17020	C3
Mp2g17040	C6
Mp2g17120	C7
Mp2g17130	C3
Mp2g17200	C3
Mp2g17240	C3
Mp2g17300	C15
Mp2g17350	C6
Mp2g17370	C10
Mp2g17410	C6
Mp2g17480	C3
Mp2g17510	C3
Mp2g17530	C4
Mp2g17530	C6
Mp2g17580	C6
Mp2g17620	C6
Mp2g17640	C3
Mp2g17670	C2
Mp2g17790	C6
Mp2g17825a	C2
Mp2g17910	C3
Mp2g17910	C5
Mp2g17950	C1
Mp2g18110	C3
Mp2g18160	C3
Mp2g18200	C3
Mp2g18340	C9
Mp2g18440	C1
Mp2g18520	C3
Mp2g18580	C3
Mp2g18670	C5
Mp2g18745a	C2
Mp2g18780	C9
Mp2g19010	C3
Mp2g19030	C5
Mp2g19040	C6
Mp2g19080	C6
Mp2g19090	C5
Mp2g19100	C5
Mp2g19180	C3
Mp2g19210	C10
Mp2g19220	C3
Mp2g19250	C3
Mp2g19280	C2
Mp2g19330	C3
Mp2g19370	C3
Mp2g19420	C3
Mp2g19430	C6
Mp2g19490	C6
Mp2g19490	C1
Mp2g19550	C14
Mp2g19570	C6
Mp2g19610	C3
Mp2g19630	C3
Mp2g19730	C1
Mp2g19740	C3
Mp2g19750	C3
Mp2g19760	C2
Mp2g19910	C2
Mp2g19940	C4
Mp2g20020	C3
Mp2g20110	C2
Mp2g20190	C6
Mp2g20390	C6
Mp2g20460	C3
Mp2g20690	C6
Mp2g20750	C10
Mp2g20790	C5
Mp2g20950	C10
Mp2g20950	C3
Mp2g20960	C10
Mp2g21020	C10
Mp2g21090	C3
Mp2g21090	C6
Mp2g21110	C6
Mp2g21120	C2
Mp2g21180	C6
Mp2g21470	C3
Mp2g21480	C1
Mp2g21505	C9
Mp2g21500	C1
Mp2g21600	C3
Mp2g21700	C3
Mp2g21710	C3
Mp2g21790	C6
Mp2g21820	C3
Mp2g21880	C1
Mp2g21920	C6
Mp2g21945a	C2
Mp2g22000	C6
Mp2g22020	C3
Mp2g22120	C2
Mp2g22140	C1
Mp2g22170	C6
Mp2g22270	C5
Mp2g22320	C1
Mp2g22340	C6
Mp2g22350	C5
Mp2g22380	C3
Mp2g22490	C6
Mp2g22535a	C2
Mp2g22590	C4
Mp2g22600	C5
Mp2g22630	C2
Mp2g22640	C2
Mp2g22690	C6
Mp2g22710	C10
Mp2g22780	C3
Mp2g22780	C6
Mp2g22920	C4
Mp2g22980	C3
Mp2g23080	C3
Mp2g23150	C3
Mp2g23190	C3
Mp2g23210	C3
Mp2g23260	C3
Mp2g23290	C14
Mp2g23330	C3
Mp2g23360	C3
Mp2g23370	C3
Mp2g23380	C6
Mp2g23410	C7
Mp2g23420	C3
Mp2g23440	C3
Mp2g23470	C3
Mp2g23520	C3
Mp2g23630	C6
Mp2g23750	C2
Mp2g23750	C10
Mp2g23755	C2
Mp2g23860	C2
Mp2g23960	C2
Mp2g24030	C3
Mp2g24040	C3
Mp2g24120	C3
Mp2g24170	C3
Mp2g24190	C4
Mp2g24380	C3
Mp2g24440	C6
Mp2g24470	C3
Mp2g24520	C6
Mp2g24565	C1
Mp2g24620	C11
Mp2g24680	C2
Mp2g24720	C3
Mp2g24790	C3
Mp2g24810	C3
Mp2g24920	C6
Mp2g24920	C5
Mp2g24940	C5
Mp2g24950	C9
