gene	group
Mp6g19170	U_HS T
Mp6g19550	U_HS T
Mp6g19580	U_HS T
Mp6g19790	U_HS T
Mp6g19800	U_HS T
Mp6g20300	U_HS T
Mp6g20360	U_HS T
Mp6g20440	U_HS T
Mp6g20450	U_HS T
Mp6g20460	U_HS T
Mp6g20690	U_HS T
Mp6g20700	U_HS T
Mp7g00640	U_HS T
Mp7g00710	U_HS T
Mp7g00880	U_HS T
Mp7g01000	U_HS T
Mp7g01460	U_HS T
Mp7g01570	U_HS T
Mp7g01970	U_HS T
Mp7g02050	U_HS T
Mp7g02200	U_HS T
Mp7g02590	U_HS T
Mp7g02600	U_HS T
Mp7g03180	U_HS T
Mp7g03960	U_HS T
Mp7g04270	U_HS T
Mp7g04390	U_HS T
Mp7g04620	U_HS T
Mp7g05120	U_HS T
Mp7g05440	U_HS T
Mp7g06000	U_HS T
Mp7g06280	U_HS T
Mp7g06470	U_HS T
Mp7g06980	U_HS T
Mp7g07880	U_HS T
Mp7g07990	U_HS T
Mp7g08170	U_HS T
Mp7g08570	U_HS T
Mp7g08800	U_HS T
Mp7g09270	U_HS T
Mp7g09410	U_HS T
Mp7g09420	U_HS T
Mp7g09660	U_HS T
Mp7g09780	U_HS T
Mp7g10010	U_HS T
Mp7g10020	U_HS T
Mp7g10170	U_HS T
Mp7g11110	U_HS T
Mp7g11410	U_HS T
Mp7g11430	U_HS T
Mp7g11630	U_HS T
Mp7g11850	U_HS T
Mp7g11930	U_HS T
Mp7g12300	U_HS T
Mp7g12340	U_HS T
Mp7g12460	U_HS T
Mp7g12560	U_HS T
Mp7g13030	U_HS T
Mp7g13390	U_HS T
Mp7g13570	U_HS T
Mp7g13670	U_HS T
Mp7g13690	U_HS T
Mp7g13750	U_HS T
Mp7g13760	U_HS T
Mp7g14070	U_HS T
Mp7g14110	U_HS T
Mp7g14460	U_HS T
Mp7g16220	U_HS T
Mp7g16230	U_HS T
Mp7g16240	U_HS T
Mp7g16270	U_HS T
Mp7g16420	U_HS T
Mp7g16570	U_HS T
Mp7g16580	U_HS T
Mp7g17100	U_HS T
Mp7g17880	U_HS T
Mp7g17950	U_HS T
Mp7g18140	U_HS T
Mp7g18290	U_HS T
Mp7g18430	U_HS T
Mp7g19310	U_HS T
Mp7g19490	U_HS T
Mp8g00210	U_HS T
Mp8g00590	U_HS T
Mp8g00600	U_HS T
Mp8g00720	U_HS T
Mp8g01500	U_HS T
Mp8g01780	U_HS T
Mp8g01840	U_HS T
Mp8g02150	U_HS T
Mp8g02530	U_HS T
Mp8g03300	U_HS T
Mp8g04910	U_HS T
Mp8g04950	U_HS T
Mp8g05020	U_HS T
Mp8g05440	U_HS T
Mp8g05610	U_HS T
Mp8g05920	U_HS T
Mp8g06300	U_HS T
Mp8g06400	U_HS T
Mp8g06470	U_HS T
Mp8g06490	U_HS T
Mp8g06690	U_HS T
Mp8g06920	U_HS T
Mp8g07070	U_HS T
Mp8g07330	U_HS T
Mp8g08550	U_HS T
Mp8g08650	U_HS T
Mp8g08900	U_HS T
