gene	cluster
Mp2g11660	C4
Mp2g11810	C1
Mp2g11820	C1
Mp2g11830	C8
Mp2g11960	C7
Mp2g12200	C8
Mp2g12220	C7
Mp2g12240	C6
Mp2g12290	C4
Mp2g12430	C6
Mp2g12520	C1
Mp2g12650	C6
Mp2g12690	C2
Mp2g12890	C4
Mp2g12900	C3
Mp2g12940	C7
Mp2g12980	C6
Mp2g13080	C1
Mp2g13090	C1
Mp2g13170	C2
Mp2g13400	C2
Mp2g13430	C5
Mp2g13440	C3
Mp2g13620	C3
Mp2g13670	C3
Mp2g13740	C8
Mp2g13850	C1
Mp2g13870	C7
Mp2g13880	C3
Mp2g13960	C1
Mp2g14010	C1
Mp2g14180	C1
Mp2g14590	C6
Mp2g14650	C2
Mp2g14660	C6
Mp2g14670	C4
Mp2g14680	C2
Mp2g14700	C3
Mp2g14720	C5
Mp2g14830	C2
Mp2g14870	C1
Mp2g15090	C1
Mp2g15200	C6
Mp2g15260	C4
Mp2g15290	C1
Mp2g15440	C6
Mp2g15510	C6
Mp2g15530	C2
Mp2g15620	C4
Mp2g15690	C7
Mp2g15700	C7
Mp2g15720	C4
Mp2g16130	C7
Mp2g16180	C5
Mp2g16190	C5
Mp2g16290	C4
Mp2g16350	C2
Mp2g16410	C2
Mp2g16500	C1
Mp2g16540	C2
Mp2g16630	C6
Mp2g16690	C1
Mp2g16700	C6
Mp2g16720	C1
Mp2g16820	C2
Mp2g16870	C2
Mp2g16920	C6
Mp2g16980	C3
Mp2g17030	C6
Mp2g17090	C5
Mp2g17110	C6
Mp2g17120	C6
Mp2g17410	C2
Mp2g17420	C2
Mp2g17430	C3
Mp2g17500	C7
Mp2g17510	C2
Mp2g17570	C5
Mp2g17680	C3
Mp2g17800	C2
Mp2g17820	C6
Mp2g17870	C6
Mp2g17910	C1
Mp2g17960	C1
Mp2g18060	C1
Mp2g18080	C7
Mp2g18140	C6
Mp2g18200	C1
Mp2g18250	C6
Mp2g18470	C3
Mp2g18480	C8
Mp2g18570	C5
Mp2g18580	C1
Mp2g18620	C6
Mp2g18650	C5
Mp2g18670	C1
Mp2g18710	C4
Mp2g18730	C6
Mp2g18740	C4
Mp2g18760	C7
Mp2g18800	C3
Mp2g18880	C5
Mp2g18950	C5
Mp2g19160	C5
Mp2g19270	C6
Mp2g19300	C2
Mp2g19350	C6
Mp2g19390	C1
Mp2g19400	C6
Mp2g19460	C3
Mp2g19550	C6
Mp2g19650	C6
Mp2g19730	C5
Mp2g19760	C2
Mp2g19860	C6
Mp2g20040	C4
Mp2g20050	C3
Mp2g20260	C6
Mp2g20340	C1
Mp2g20430	C4
Mp2g20470	C7
Mp2g20630	C6
Mp2g20640	C1
Mp2g20650	C1
Mp2g20850	C3
Mp2g20870	C5
Mp2g21000	C1
Mp2g21040	C1
Mp2g21130	C3
Mp2g21140	C2
Mp2g21170	C1
Mp2g21290	C4
Mp2g21300	C3
Mp2g21420	C1
Mp2g21430	C6
Mp2g21470	C2
Mp2g21490	C6
Mp2g21500	C2
Mp2g21520	C8
Mp2g21600	C2
Mp2g21620	C3
Mp2g21700	C3
Mp2g21710	C7
Mp2g21770	C6
Mp2g21800	C2
Mp2g21870	C4
Mp2g21880	C4
Mp2g21920	C8
Mp2g21950	C2
Mp2g22010	C1
Mp2g22050	C1
Mp2g22120	C3
Mp2g22150	C6
Mp2g22250	C1
Mp2g22350	C7
Mp2g22390	C5
Mp2g22490	C6
Mp2g22600	C1
Mp2g22680	C4
Mp2g22690	C2
Mp2g22740	C3
Mp2g22750	C4
Mp2g22760	C4
Mp2g22790	C4
Mp2g22820	C5
Mp2g22890	C4
Mp2g22900	C8
Mp2g22920	C3
Mp2g23050	C6
Mp2g23310	C1
Mp2g23350	C1
Mp2g23490	C3
Mp2g23620	C1
Mp2g23640	C1
Mp2g23680	C4
Mp2g23740	C6
Mp2g23750	C6
Mp2g23755	C2
Mp2g23775	C6
Mp2g23900	C4
Mp2g23940	C1
Mp2g24070	C7
Mp2g24110	C1
Mp2g24200	C1
Mp2g24260	C5
Mp2g24440	C6
Mp2g24490	C7
Mp2g24580	C1
Mp2g24760	C6
Mp2g24780	C6
Mp2g24790	C6
Mp2g24800	C6
Mp2g24810	C6
Mp2g24840	C4
Mp2g24920	C1
Mp2g24940	C4
Mp2g24950	C2
Mp2g25050	C4
Mp2g25060	C1
Mp2g25080	C1
Mp2g25120	C4
Mp2g25170	C1
Mp2g25180	C7
Mp2g25250	C5
Mp2g25290	C3
Mp2g25340	C1
Mp2g25350	C6
Mp2g25390	C6
Mp2g25400	C1
Mp2g25540	C5
Mp2g25620	C5
Mp2g25630	C4
Mp2g25640	C4
Mp2g25660	C5
Mp2g25910	C1
Mp2g25930	C2
Mp2g25940	C1
Mp2g26010	C8
Mp2g26170	C1
Mp2g26210	C2
Mp2g26270	C5
Mp2g26340	C1
Mp2g26345	C4
Mp2g26370	C2
Mp2g26500	C6
Mp2g26620	C1
Mp2g26740	C5
Mp3g00090	C4
Mp3g00110	C4
Mp3g00130	C1
Mp3g00230	C5
Mp3g00270	C3
Mp3g00450	C2
Mp3g00480	C1
Mp3g00500	C4
Mp3g00510	C5
Mp3g00640	C4
Mp3g00740	C2
Mp3g00790	C1
Mp3g00840	C6
Mp3g00850	C3
Mp3g00900	C6
Mp3g00910	C1
Mp3g00960	C4
Mp3g00980	C6
Mp3g01000	C5
Mp3g01020	C5
Mp3g01130	C1
Mp3g01145	C1
Mp3g01200	C4
Mp3g01320	C7
Mp3g01440	C1
Mp3g01480	C6
Mp3g01570	C1
Mp3g01610	C2
Mp3g01630	C4
Mp3g01690	C4
Mp3g01890	C5
Mp3g01920	C7
Mp3g01940	C7
Mp3g01970	C5
Mp3g01980	C5
Mp3g02010	C3
Mp3g02080	C1
Mp3g02160	C1
Mp3g02240	C2
Mp3g02290	C4
Mp3g02320	C6
Mp3g02370	C6
Mp3g02410	C8
Mp3g02460	C6
Mp3g02470	C1
Mp3g02550	C1
Mp3g02580	C6
Mp3g02650	C5
Mp3g02660	C4
Mp3g02670	C5
Mp3g02710	C4
Mp3g02720	C5
Mp3g02800	C2
Mp3g02810	C2
Mp3g02820	C4
Mp3g02930	C6
Mp3g03030	C4
Mp3g03040	C4
Mp3g03100	C8
Mp3g03130	C1
Mp3g03140	C1
Mp3g03200	C4
Mp3g03350	C7
Mp3g03360	C1
Mp3g03370	C6
Mp3g03380	C1
Mp3g03390	C1
Mp3g03420	C6
Mp3g03530	C7
Mp3g03660	C1
Mp3g03770	C4
Mp3g03860	C1
Mp3g03870	C1
Mp3g03890	C1
Mp3g03970	C6
Mp3g03980	C4
Mp3g04030	C6
Mp3g04050	C4
Mp3g04160	C2
Mp3g04190	C4
Mp3g04260	C4
Mp3g04300	C1
Mp3g04620	C4
Mp3g04830	C1
Mp3g04860	C6
Mp3g05060	C1
Mp3g05110	C6
Mp3g05150	C2
Mp3g05190	C4
Mp3g05200	C6
Mp3g05220	C6
Mp3g05230	C5
Mp3g05280	C6
Mp3g05310	C6
Mp3g05340	C5
Mp3g05460	C6
Mp3g05470	C6
Mp3g05490	C8
Mp3g05560	C4
Mp3g05600	C5
Mp3g05910	C6
Mp3g05930	C3
Mp3g06040	C6
Mp3g06080	C2
Mp3g06110	C6
Mp3g06140	C7
Mp3g06250	C5
Mp3g06260	C1
Mp3g06310	C1
Mp3g06320	C2
Mp3g06480	C4
Mp3g06490	C4
Mp3g06510	C4
Mp3g06520	C4
Mp3g06550	C6
Mp3g06560	C7
Mp3g06570	C7
Mp3g06650	C7
Mp3g06660	C4
Mp3g06930	C2
Mp3g06970	C7
Mp3g07140	C2
Mp3g07160	C2
Mp3g07260	C1
Mp3g07390	C6
Mp3g07400	C1
Mp3g07470	C1
Mp3g07630	C2
Mp3g07690	C7
Mp3g07700	C1
Mp3g07730	C6
Mp3g08060	C6
Mp3g08070	C6
Mp3g08090	C2
Mp3g08180	C3
Mp3g08200	C4
Mp3g08250	C3
Mp3g08340	C6
Mp3g08360	C6
Mp3g08375	C6
Mp3g08430	C5
Mp3g08750	C2
Mp3g08980	C1
Mp3g09010	C2
Mp3g09020	C2
Mp3g09050	C2
Mp3g09090	C1
Mp3g09170	C5
Mp3g09190	C5
Mp3g09200	C5
Mp3g09220	C5
Mp3g09240	C6
Mp3g09290	C4
Mp3g09400	C3
Mp3g09560	C2
Mp3g09750	C2
Mp3g09800	C6
Mp3g09930	C1
Mp3g10010	C1
Mp3g10080	C3
Mp3g10150	C2
Mp3g10210	C7
Mp3g10220	C7
Mp3g10230	C1
Mp3g10240	C1
Mp3g10340	C1
Mp3g10350	C6
Mp3g10370	C4
Mp3g10510	C4
Mp3g10530	C1
Mp3g10560	C2
Mp3g10580	C3
Mp3g10640	C2
Mp3g10690	C2
Mp3g10770	C6
Mp3g10780	C7
Mp3g10810	C6
Mp3g10820	C2
Mp3g10920	C4
Mp3g11090	C6
Mp3g11160	C8
Mp3g11280	C7
Mp3g11360	C4
Mp3g11390	C4
Mp3g11440	C1
Mp3g11460	C2
Mp3g11470	C2
Mp3g11520	C1
Mp3g11550	C3
Mp3g11760	C1
Mp3g11790	C2
Mp3g11830	C2
Mp3g11880	C5
Mp3g11900	C7
Mp3g12040	C2
Mp3g12070	C3
Mp3g12180	C1
Mp3g12230	C1
Mp3g12240	C1
Mp3g12300	C6
Mp3g12340	C5
Mp3g12380	C1
Mp3g12400	C5
Mp3g12410	C1
Mp3g12570	C7
Mp3g12640	C3
Mp3g12660	C2
Mp3g12790	C7
Mp3g12920	C2
Mp3g12930	C8
Mp3g13150	C6
Mp3g13280	C2
Mp3g13340	C2
Mp3g13640	C1
Mp3g13710	C6
Mp3g13730	C6
Mp3g13740	C5
Mp3g13910	C5
Mp3g14030	C4
Mp3g14050	C6
Mp3g14070	C6
Mp3g14120	C6
Mp3g14180	C5
Mp3g14230	C4
Mp3g14290	C4
Mp3g14320	C3
Mp3g14340	C1
Mp3g14380	C2
Mp3g14440	C1
Mp3g14610	C1
Mp3g14660	C7
Mp3g14730	C2
Mp3g14780	C7
Mp3g14900	C7
Mp3g14910	C4
Mp3g14920	C2
Mp3g14960	C6
Mp3g15010	C2
Mp3g15230	C4
Mp3g15240	C2
Mp3g15290	C7
Mp3g15310	C1
Mp3g15330	C1
Mp3g15350	C4
Mp3g15370	C4
Mp3g15450	C6
Mp3g15460	C5
Mp3g15540	C2
Mp3g15580	C2
Mp3g15730	C5
Mp3g15740	C6
Mp3g15760	C1
Mp3g15770	C8
Mp3g15830	C4
Mp3g15910	C8
Mp3g15950	C6
Mp3g16010	C3
Mp3g16030	C2
Mp3g16080	C5
Mp3g16090	C3
Mp3g16190	C5
Mp3g16260	C2
Mp3g16340	C7
Mp3g16430	C7
Mp3g16460	C1
Mp3g16500	C1
Mp3g16520	C7
Mp3g16590	C6
