output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C2_C2H2_31-C4_C2H2_27-C6_C2H2_36	NA	C2_C2H2_31-C4_C2H2_27-C6_C2H2_36	C_	328	8.74423	17	7.50561	19	0.26713	3.88579e-66	True
_C6_AP2EREBP_170	NA	C6_AP2EREBP_170	C_	125	6.64592	4	5.21352	4	0.29274	7.88887e-56	True
_C3_Trihelix_13	NA	C3_Trihelix_13	C_6	313	9.78967	24	8.85588	20	-0.05317	3.20812e-20	True
_C2_ABI3VP1_12-C4_ABI3VP1_8-C6_ABI3VP1_14-C7_ABI3VP1_3-C9_ABI3VP1_6	NA	C2_ABI3VP1_12-C4_ABI3VP1_8-C6_ABI3VP1_14-C7_ABI3VP1_3-C9_ABI3VP1_6	C_	182	8.21795	4	6.01783	4	0.28639	1.98755e-66	True
_C10_MYB_7-C13_MYB_4-C2_MYB_6-C4_MYB_5-C6_MYB_8-C9_MYB_3	NA	C10_MYB_7-C13_MYB_4-C2_MYB_6-C4_MYB_5-C6_MYB_8-C9_MYB_3	C_	265	10.31072	17	10.29577	19	-0.05473	8.5148e-13	True
_C6_NAC_68	NA	C6_NAC_68	C_	210	9.28503	16	8.77584	15	-0.04882	8.91493e-09	True
_C13_NAC_5	NA	C13_NAC_5	C_	162	14.30916	27	13.87623	26	-0.08832	1.07277e-18	True
_C1_TCP_12-C10_TCP_33-C13_TCP_14-C3_TCP_23-C5_TCP_12-C6_TCP_38	NA	C1_TCP_12-C10_TCP_33-C13_TCP_14-C3_TCP_23-C5_TCP_12-C6_TCP_38	C_	72	25.73603	18	21.40536	18	0.32128	5.34629e-50	True
_C3_AP2EREBP_103-C4_AP2EREBP_90	NA	C3_AP2EREBP_103-C4_AP2EREBP_90	C_	716	13.09741	60	10.40628	57	0.19808	8.95274e-78	True
_C6_NAC_67	NA	C6_NAC_67	C_8	138	11.38937	16	8.91052	12	0.31969	2.56453e-62	True
_C3_AP2EREBP_53	NA	C3_AP2EREBP_53	C_	186	12.11551	14	9.87548	12	0.29132	5.2634e-63	True
_C1_E2FDP_9-C2_E2FDP_17-C3_E2FDP_16-C4_E2FDP_9-C6_E2FDP_19	NA	C1_E2FDP_9-C2_E2FDP_17-C3_E2FDP_16-C4_E2FDP_9-C6_E2FDP_19	C_	118	16.91262	14	14.29322	12	0.30231	8.03881e-55	True
