output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C2_CCAATHAP3_1-C5_CCAATHAP3_1	NA	C2_CCAATHAP3_1-C5_CCAATHAP3_1	C_	187	7.43023	138	6.65218	97	0.26681	2.76916e-55	True
_C10_WRKY_10-C13_WRKY_5-C2_WRKY_16-C3_WRKY_9-C4_WRKY_11-C5_WRKY_17-C6_WRKY_18-C9_WRKY_15	NA	C10_WRKY_10-C13_WRKY_5-C2_WRKY_16-C3_WRKY_9-C4_WRKY_11-C5_WRKY_17-C6_WRKY_18-C9_WRKY_15	C_	566	4.95628	385	4.70799	359	-0.14488	2.08198e-58	True
_C5_AP2EREBP_177	NA	C5_AP2EREBP_177	C_	141	3.84978	93	3.8089	87	-0.20286	1.22371e-40	True
_C3_Trihelix_32-C4_Trihelix_30	NA	C3_Trihelix_32-C4_Trihelix_30	C_	180	5.34089	117	5.52839	126	-0.30355	1.40855e-60	True
_C6_AP2EREBP_138	NA	C6_AP2EREBP_138	C_	101	4.88888	77	3.99044	48	0.16667	5.59142e-29	True
_C3_MYB_19	NA	C3_MYB_19	C_	139	4.99793	107	4.31608	84	0.20169	6.69874e-39	True
_C9_ABI3VP1_8	NA	C9_ABI3VP1_8	C_	131	4.43157	97	3.59286	70	0.16951	1.05587e-39	True
_C10_bHLH_4-C2_bHLH_6-C3_bHLH_4-C5_bHLH_5-C6_bHLH_6	NA	C10_bHLH_4-C2_bHLH_6-C3_bHLH_4-C5_bHLH_5-C6_bHLH_6	C_	502	5.17889	351	4.98812	312	-0.14819	4.04178e-58	True
_C3_bHLH_5-C6_bHLH_7	NA	C3_bHLH_5-C6_bHLH_7	C_	152	4.90574	111	4.89819	106	-0.22207	1.08844e-45	True
_C10_NAC_14	NA	C10_NAC_14	C_	141	4.43775	83	4.66784	93	-0.29335	8.29621e-55	True
_C2_MYB_34-C5_MYB_44	NA	C2_MYB_34-C5_MYB_44	C_	98	7.28364	74	5.92146	52	0.20573	1.86979e-36	True
_C10_bZIP_3-C2_bZIP_3-C3_bZIP_3-C6_bZIP_3-C9_bZIP_3	NA	C10_bZIP_3-C2_bZIP_3-C3_bZIP_3-C6_bZIP_3-C9_bZIP_3	C_	671	7.02853	505	6.86989	475	-0.23699	3.00394e-82	True
_C3_bZIP_4-C6_bZIP_4	NA	C3_bZIP_4-C6_bZIP_4	C_	151	10.49199	120	9.64853	112	-0.23753	4.52057e-53	True
_C9_WRKY_7	NA	C9_WRKY_7	C_	145	12.12914	114	10.25049	69	0.2543	1.64873e-56	True
_C2_AP2EREBP_52-C6_AP2EREBP_64	NA	C2_AP2EREBP_52-C6_AP2EREBP_64	C_	129	8.57793	92	6.40855	62	0.22954	6.79639e-47	True
_C5_Homeobox_3	NA	C5_Homeobox_3	C_	83	4.57234	59	4.50039	56	-0.26166	3.00171e-44	True
_C5_AP2EREBP_134	NA	C5_AP2EREBP_134	C_	60	4.34626	37	4.40935	39	-0.2149	5.25798e-29	True
_C10_Trihelix_51-C2_Trihelix_63-C3_Trihelix_48-C4_Trihelix_45-C5_Trihelix_55-C6_Trihelix_68-C9_Trihelix_32	NA	C10_Trihelix_51-C2_Trihelix_63-C3_Trihelix_48-C4_Trihelix_45-C5_Trihelix_55-C6_Trihelix_68-C9_Trihelix_32	C_	607	6.14523	432	5.9398	401	-0.17126	1.5069e-64	True
_C4_NAC_20	NA	C4_NAC_20	C_	53	6.54375	33	6.17413	36	-0.31849	5.0391e-42	True
_C5_C2H2_80-C6_C2H2_77	NA	C5_C2H2_80-C6_C2H2_77	C_	693	10.28263	490	8.38268	377	0.1288	7.4544e-57	True
_C5_HSF_5-C6_HSF_5-C9_HSF_2	NA	C5_HSF_5-C6_HSF_5-C9_HSF_2	C_	564	9.85757	400	8.63207	294	0.16647	1.32421e-64	True
_C2_MYB_19-C5_MYB_15-C6_MYB_21-C9_MYB_9	NA	C2_MYB_19-C5_MYB_15-C6_MYB_21-C9_MYB_9	C_	1023	10.23069	738	8.72591	561	0.1145	9.29677e-62	True
_C5_MADS_4	NA	C5_MADS_4	C_	195	7.70538	135	7.04927	94	0.18616	5.37121e-41	True
_C6_EIL_4	NA	C6_EIL_4	C_	109	10.37364	79	8.66577	59	0.18662	9.4117e-36	True
_C4_BBRBPC_12-C5_BBRBPC_7-C6_BBRBPC_11	NA	C4_BBRBPC_12-C5_BBRBPC_7-C6_BBRBPC_11	C_	781	11.10881	564	9.0638	444	0.12175	5.32073e-60	True
_C6_bZIP_17	NA	C6_bZIP_17	C_	171	11.75082	136	8.64376	91	0.26579	5.05018e-58	True
_C13_G2like_1-C2_G2like_8-C4_G2like_12-C5_G2like_12-C9_G2like_2	NA	C13_G2like_1-C2_G2like_8-C4_G2like_12-C5_G2like_12-C9_G2like_2	C_	660	8.43035	463	6.86602	372	0.16031	2.3415e-58	True
_C6_MYB_58	NA	C6_MYB_58	C_	151	8.81646	103	6.9271	83	0.16279	2.422e-37	True
_C6_RWPRK_5	NA	C6_RWPRK_5	C_	291	7.53237	203	6.08594	142	0.16532	2.42863e-54	True
_C6_C2H2_61	NA	C6_C2H2_61	C_	177	11.87932	138	9.38094	106	0.17876	1.5835e-47	True
_C3_bHLH_18	NA	C3_bHLH_18	C_	55	10.34134	43	8.39914	32	0.17575	1.46328e-17	True
_C2_C2C2YABBY_20-C6_C2C2YABBY_18	NA	C2_C2C2YABBY_20-C6_C2C2YABBY_18	C_	675	10.85143	496	8.60127	391	0.16813	3.72808e-68	True
_C3_NLP_12	NA	C3_NLP_12	C_	116	8.6601	77	8.57054	78	-0.33217	3.77396e-58	True
