"interaction","MI","name","pvalue","selected","shared.interaction","source","target","weight","source_TF","target_TF","presence"
"interacts with",0.874454956243844,"Mp6g04880 (interacts with) Mp5g05830",4.77781991630177e-05,"false","interacts with","Mp6g04880","Mp5g05830",0.037900375688028,"AP2/ERF",NA,""
"interacts with",0.987514992042786,"Mp8g12000 (interacts with) Mp5g04050",0.000519722400126321,"false","interacts with","Mp8g12000","Mp5g04050",0.0499448597672318,"MYB",NA,""
"interacts with",0.835160861468437,"Mp6g04880 (interacts with) Mp2g02210",0.0491152351220638,"false","interacts with","Mp6g04880","Mp2g02210",0.0360168642332211,"AP2/ERF",NA,""
"interacts with",1.00391573189211,"Mp8g12000 (interacts with) Mp1g11700",4.77781991630177e-05,"false","interacts with","Mp8g12000","Mp1g11700",0.046884043964069,"MYB",NA,""
"interacts with",0.829308555266404,"Mp6g04880 (interacts with) Mp1g06780",1.80950454620188e-09,"false","interacts with","Mp6g04880","Mp1g06780",0.0328454288430284,"AP2/ERF",NA,""
"interacts with",0.982171113931837,"Mp8g12000 (interacts with) Mp2g19550",4.77781991630177e-05,"false","interacts with","Mp8g12000","Mp2g19550",0.045632811501084,"MYB",NA,""
"interacts with",0.913131545652295,"Mp6g04880 (interacts with) Mp8g07630",4.77781991630177e-05,"false","interacts with","Mp6g04880","Mp8g07630",0.032604504772543,"AP2/ERF",NA,""
"interacts with",0.966820405504636,"Mp8g12000 (interacts with) Mp4g14080",1.80950454620188e-09,"false","interacts with","Mp8g12000","Mp4g14080",0.0453915933877308,"MYB",NA,""
"interacts with",0.871433794704688,"Mp6g04880 (interacts with) Mp4g14500",0.0491152351220638,"false","interacts with","Mp6g04880","Mp4g14500",0.0320933542876177,"AP2/ERF",NA,""
"interacts with",0.876765724147469,"Mp8g12000 (interacts with) Mp7g00640",0.00525516972422113,"false","interacts with","Mp8g12000","Mp7g00640",0.0452100665081281,"MYB",NA,""
"interacts with",0.979612569388687,"Mp1g03100 (interacts with) Mp1g03760",0,"false","interacts with","Mp1g03100","Mp1g03760",0.0921650505335212,"Trihelix",NA,""
"interacts with",0.865387032401826,"Mp8g12000 (interacts with) Mp5g24230",0.0491152351220638,"false","interacts with","Mp8g12000","Mp5g24230",0.0409207205654948,"MYB",NA,""
"interacts with",0.926081323072699,"Mp1g03100 (interacts with) Mp8g02700",1.80950454620188e-09,"false","interacts with","Mp1g03100","Mp8g02700",0.076164087455639,"Trihelix",NA,""
"interacts with",1.02867055896705,"Mp8g12000 (interacts with) Mp1g16700",0.0491152351220638,"false","interacts with","Mp8g12000","Mp1g16700",0.0405292933399464,"MYB",NA,""
"interacts with",0.964117652500607,"Mp1g03100 (interacts with) Mp5g12930",3.30563580508425e-07,"false","interacts with","Mp1g03100","Mp5g12930",0.0754779849980269,"Trihelix",NA,""
"interacts with",0.921203349048042,"Mp8g12000 (interacts with) Mp5g07640",0.0491152351220638,"false","interacts with","Mp8g12000","Mp5g07640",0.0387075087394513,"MYB",NA,""
"interacts with",1.01138418651144,"Mp1g03100 (interacts with) Mp4g13840",4.77781991630177e-05,"false","interacts with","Mp1g03100","Mp4g13840",0.0674297384878335,"Trihelix",NA,""
