distanceToTSS (log10)	group
0	hsfb CK
0	hsfb CK
0.17868923977559	hsfb CK
1.0814913285257	hsfb CK
0.746556361410369	hsfb CK
0	hsfb CK
-0.3236645356081	hsfb CK
-0.477555332198981	hsfb CK
-0.561578368300961	hsfb CK
-0.67788058151159	hsfb CK
-0.890253305154534	hsfb CK
0.507990724819691	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
-0.649529565947819	hsfb CK
-0.327971623623011	hsfb CK
-0.209246848753374	hsfb CK
0	hsfb CK
0.781324455666988	hsfb CK
0.886265059029756	hsfb CK
1.03116599966066	hsfb CK
0.841984804590114	hsfb CK
0	hsfb CK
-0.429590802223302	hsfb CK
-0.679246145413859	hsfb CK
0	hsfb CK
-0.265525335219074	hsfb CK
0	hsfb CK
0	hsfb CK
-0.180125875164054	hsfb CK
0	hsfb CK
0	hsfb CK
-0.177536499929862	hsfb CK
0	hsfb CK
0	hsfb CK
-0.192846115188842	hsfb CK
0	hsfb CK
0.785899028384384	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0.583312151983078	hsfb CK
0.546542663478131	hsfb CK
-0.0338256939533103	hsfb CK
-1.05238609538937	hsfb CK
1.07965147707385	hsfb CK
0.984347257585864	hsfb CK
0.925776053836746	hsfb CK
0.901458321396112	hsfb CK
0.376941757146759	hsfb CK
0	hsfb CK
0	hsfb CK
0.0305997219659511	hsfb CK
0.33645973384853	hsfb CK
0	hsfb CK
-0.354876422516234	hsfb CK
0	hsfb CK
0.869231719730976	hsfb CK
0.843419665204918	hsfb CK
0	hsfb CK
1.08206693428511	hsfb CK
0	hsfb CK
-0.152288344383056	hsfb CK
0	hsfb CK
0.692053365034081	hsfb CK
0.934649922900711	hsfb CK
0.908753019184534	hsfb CK
0.830909299546443	hsfb CK
0.724111953961212	hsfb CK
0	hsfb CK
-0.346744054604849	hsfb CK
1.06707085604537	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0.854670331895335	hsfb CK
0.732232880220498	hsfb CK
0.610234175334389	hsfb CK
0	hsfb CK
-0.241546480596548	hsfb CK
-0.65628990119136	hsfb CK
-0.721315880605899	hsfb CK
0.772174960824614	hsfb CK
0	hsfb CK
0.00732095292274456	hsfb CK
0	hsfb CK
-0.169674434058807	hsfb CK
0	hsfb CK
-0.302979936748249	hsfb CK
0.275771900164931	hsfb CK
-0.0503797562614578	hsfb CK
0.0755469613925307	hsfb CK
-0.137986732723532	hsfb CK
0.229425847920695	hsfb CK
-0.267640982345915	hsfb CK
0.232996110392154	hsfb CK
-0.390935107103379	hsfb CK
-0.44216608578472	hsfb CK
-0.40925665203891	hsfb CK
0.0744507189545912	hsfb CK
-0.565020928345294	hsfb CK
-0.325515663363148	hsfb CK
0	hsfb CK
-0.226084115975824	hsfb CK
0	hsfb CK
-0.558708570533166	hsfb CK
-0.353531559077762	hsfb CK
0	hsfb CK
0.311329952303793	hsfb CK
0.356025857193123	hsfb CK
0	hsfb CK
-0.455606112581867	hsfb CK
-0.827756862978617	hsfb CK
0	hsfb CK
-0.571475903681944	hsfb CK
0	hsfb CK
-0.324899497052313	hsfb CK
-0.205745540942662	hsfb CK
0	hsfb CK
0.680969718465897	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0.821971817642043	hsfb CK
0.575880315680646	hsfb CK
0	hsfb CK
-0.513483956704257	hsfb CK
0.640382044709568	hsfb CK
0.275080898456859	hsfb CK
-0.190611797813605	hsfb CK
0	hsfb CK
0.489395921727129	hsfb CK
0	hsfb CK
-0.754348335711019	hsfb CK
0.668572269184558	hsfb CK
0.642266618902674	hsfb CK
0.566555330883055	hsfb CK
0.00346053210950649	hsfb CK
0.213252052196397	hsfb CK
0	hsfb CK
0.439648429563474	hsfb CK
0	hsfb CK
-0.427323786357247	hsfb CK
-0.491641793477586	hsfb CK
0	hsfb CK
-0.225825991461893	hsfb CK
0	hsfb CK
0.737749073891557	hsfb CK
-0.633872262658333	hsfb CK
-0.565729787831127	hsfb CK
-0.352953911710088	hsfb CK
0	hsfb CK
-0.539828558377898	hsfb CK
0	hsfb CK
0.725094521081469	hsfb CK
0	hsfb CK
0.712649701627211	hsfb CK
-0.23578087032756	hsfb CK
-0.273464272621346	hsfb CK
0	hsfb CK
0.709948016510761	hsfb CK
0.79000352039049	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
-1.12040939455607	hsfb CK
0	hsfb CK
0	hsfb CK
0.692582562274909	hsfb CK
0.619406410886777	hsfb CK
0.452246574520437	hsfb CK
0	hsfb CK
0	hsfb CK
0.841359470454855	hsfb CK
-0.554610285226164	hsfb CK
-0.434728541779758	hsfb CK
0	hsfb CK
