distanceToTSS (log10)	group
0	hsfa CK
-0.67641923171836	hsfa CK
-0.324282455297693	hsfa CK
0	hsfa CK
0.781396305196791	hsfa CK
0.884738737769632	hsfa CK
0.948999454026953	hsfa CK
1.03881878737366	hsfa CK
0.841734778974743	hsfa CK
0	hsfa CK
-0.427648371186933	hsfa CK
-0.675778341674085	hsfa CK
-0.730378468587643	hsfa CK
0	hsfa CK
-0.524785449321222	hsfa CK
-0.262451089730429	hsfa CK
0	hsfa CK
0	hsfa CK
-0.179551791165188	hsfa CK
0	hsfa CK
0	hsfa CK
-0.510946948672973	hsfa CK
-0.166430113843283	hsfa CK
0	hsfa CK
0	hsfa CK
-0.280350693046006	hsfa CK
-0.192846115188842	hsfa CK
0	hsfa CK
0.78632543439007	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0.583425500406507	hsfa CK
-1.0511911246857	hsfa CK
-1.07704069834246	hsfa CK
1.07925362243008	hsfa CK
0.989004615698537	hsfa CK
0.940167714034075	hsfa CK
0.377852419006755	hsfa CK
0	hsfa CK
0	hsfa CK
0.0240749873074262	hsfa CK
0.395675785269936	hsfa CK
0	hsfa CK
0	hsfa CK
0.871456174022954	hsfa CK
0	hsfa CK
1.08185117151745	hsfa CK
0	hsfa CK
-0.377670439334323	hsfa CK
-0.209515014542631	hsfa CK
0	hsfa CK
0.830716949436898	hsfa CK
0.742568034366142	hsfa CK
0.725993258924722	hsfa CK
0	hsfa CK
-0.349277527467955	hsfa CK
-1.03965202358192	hsfa CK
1.06707085604537	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0.854670331895335	hsfa CK
0.73303668293358	hsfa CK
0.62293896921149	hsfa CK
0	hsfa CK
-0.244029589030022	hsfa CK
-0.656098202012832	hsfa CK
0.772688354682141	hsfa CK
0	hsfa CK
0.0128372247051722	hsfa CK
0	hsfa CK
-0.151676230847048	hsfa CK
0	hsfa CK
-0.302763708472982	hsfa CK
0.283074974735472	hsfa CK
0.0726174765452365	hsfa CK
-0.139879086401236	hsfa CK
0.228143607597742	hsfa CK
-0.267171728403014	hsfa CK
0.302114376956201	hsfa CK
-0.354492600589436	hsfa CK
-0.441852175773292	hsfa CK
-0.409087369447835	hsfa CK
0.0795430074029061	hsfa CK
-0.565729787831127	hsfa CK
-0.324693913861775	hsfa CK
0	hsfa CK
-0.227372442289636	hsfa CK
0	hsfa CK
-0.355259905527378	hsfa CK
0	hsfa CK
